qb_name,appearances,QB_comp_pct_L3,QB_comp_pct_L5,QB_dropbacks_L3,QB_dropbacks_L5,QB_int_rate_L3,QB_int_rate_L5,QB_qb_epa_per_play_L3,QB_qb_epa_per_play_L5,QB_sack_rate_L3,QB_sack_rate_L5,QB_success_rate_L3,QB_success_rate_L5,QB_ypa_L3,QB_ypa_L5,TEAM_comp_pct_L3,TEAM_comp_pct_L5,TEAM_dropbacks_L3,TEAM_dropbacks_L5,TEAM_int_rate_L3,TEAM_int_rate_L5,TEAM_qb_epa_per_play_L3,TEAM_qb_epa_per_play_L5,TEAM_sack_rate_L3,TEAM_sack_rate_L5,TEAM_success_rate_L3,TEAM_success_rate_L5,TEAM_ypa_L3,TEAM_ypa_L5,moneyline,qb_epa_per_play,qb_success_rate,rest,score,spread_odds
A.J. McCarron,1,,,,,,,,,,,,,,,0.5768,0.5973,44.0,38.4,0.0456,0.0338,0.0563,0.1633,0.0673,0.0675,0.4282,0.4666,6.4223,7.4474,308.0,-0.0675,0.4444,7.0,14.0,-117.0
Aaron Rodgers,103,0.6171,0.6182,37.9902,38.0446,0.0083,0.0088,0.1826,0.1828,0.0583,0.0582,0.4882,0.4888,7.0134,7.0193,0.6136,0.614,38.0588,38.1917,0.011,0.011,0.1668,0.1646,0.0567,0.0569,0.4816,0.4808,6.9233,6.9172,-152.8544,0.1767,0.4883,7.0,24.7573,-107.0
Aidan O'Connell,17,0.5705,0.5788,33.4896,35.0604,0.02,0.0204,-0.0956,-0.0759,0.0686,0.0719,0.4232,0.4314,6.0932,6.2025,0.5685,0.577,33.0,33.7882,0.0324,0.0307,-0.1321,-0.1187,0.0637,0.0687,0.418,0.4285,6.0131,6.1144,150.2941,-0.055,0.4384,7.0,20.2353,-110.0
Alex Smith,16,0.6032,0.6009,36.8778,37.0822,0.0238,0.0167,0.0168,0.0244,0.0663,0.0699,0.4639,0.4755,6.4517,6.5512,0.6118,0.6113,37.7222,37.8289,0.0195,0.0177,0.0763,0.0756,0.0569,0.0636,0.4768,0.4847,6.7002,6.7489,44.9375,-0.0223,0.4477,7.0,21.9375,-102.0
Andrew Luck,18,0.6645,0.6657,42.951,43.3294,0.0233,0.0209,0.2134,0.2021,0.0224,0.0237,0.5249,0.5217,7.0986,6.9743,0.6645,0.6657,42.951,43.3294,0.0228,0.0233,0.2134,0.2021,0.0224,0.0237,0.5249,0.5217,7.0986,6.9743,-35.0,0.1878,0.5175,7.0,25.9444,-106.5
Andy Dalton,62,0.5898,0.5892,38.0508,38.0633,0.0253,0.0245,0.0298,0.0254,0.0595,0.0601,0.4624,0.463,6.4476,6.4523,0.5856,0.5855,36.847,37.0776,0.0244,0.0258,0.0028,-0.0081,0.0626,0.0645,0.4583,0.4583,6.374,6.3146,109.6935,0.0009,0.4619,7.0,21.1129,-106.0
Anthony Brown,1,,,,,,,,,,,,,,,0.5704,0.629,25.6667,26.4,0.026,0.0216,-0.0723,-0.0197,0.0425,0.0478,0.3906,0.4143,5.7123,5.9146,474.0,-0.2668,0.3125,7.0,16.0,105.0
Anthony Richardson,10,0.526,0.5256,35.9074,37.0019,0.0278,0.024,0.0443,0.0603,0.0638,0.0676,0.4251,0.4339,6.9938,6.8092,0.5492,0.5508,32.2,33.26,0.031,0.0331,-0.0064,-0.0475,0.0584,0.0669,0.4184,0.4108,6.5335,6.3621,8.8,0.0536,0.4186,7.0,21.2,-110.0
Bailey Zappe,9,0.6107,0.6155,29.0,27.7056,0.029,0.0298,-0.1335,-0.1009,0.0934,0.0925,0.4084,0.4216,6.7162,6.828,0.5876,0.5855,32.0741,33.4444,0.04,0.0382,-0.2025,-0.1709,0.0922,0.0853,0.4081,0.4189,6.0722,6.0228,314.6667,-0.1551,0.3899,7.0,18.3333,-108.0
Baker Mayfield,108,0.595,0.5944,36.1728,36.1488,0.0199,0.0221,0.124,0.1216,0.0652,0.065,0.4705,0.4697,6.9579,6.9498,0.5979,0.5957,36.5309,36.7299,0.0231,0.0233,0.1226,0.1155,0.0633,0.0633,0.4733,0.4714,6.9146,6.8907,-14.3889,0.1217,0.4711,7.0,23.4074,-105.5
Ben DiNucci,1,,,,,,,,,,,,,,,0.5473,0.584,35.3333,46.4,0.042,0.0351,-0.1122,-0.0094,0.0721,0.0591,0.4786,0.4984,5.2071,6.3169,335.0,-0.5191,0.4222,7.0,9.0,-100.0
Ben Roethlisberger,51,0.6286,0.6287,43.1224,43.3619,0.0187,0.0179,0.133,0.1389,0.0393,0.0394,0.4773,0.4798,6.5879,6.6559,0.6216,0.6219,42.6867,42.4987,0.019,0.0195,0.1274,0.1322,0.0395,0.0408,0.4705,0.472,6.5408,6.5991,-101.7647,0.125,0.4734,7.0,24.2353,-105.0
Blaine Gabbert,5,0.5764,0.5734,28.9583,29.675,0.0333,0.033,-0.1718,-0.1919,0.0167,0.0149,0.3863,0.3808,5.8454,5.6216,0.6034,0.5951,31.2333,33.02,0.0267,0.0267,-0.0466,-0.0664,0.038,0.0394,0.4217,0.4186,6.1329,6.1236,213.4,-0.1013,0.4269,7.0,15.2,-114.0
Blake Bortles,12,0.5652,0.5683,42.4167,42.7767,0.0257,0.0239,0.007,-0.0003,0.0607,0.0546,0.44,0.4374,6.37,6.3497,0.5671,0.5709,41.9242,41.7606,0.0221,0.0244,-0.0343,-0.0314,0.071,0.0632,0.4469,0.4419,6.0493,6.0878,-33.0,-0.0493,0.435,7.0,16.6667,-106.0
Bo Nix,18,0.6228,0.6158,38.4314,38.6108,0.0101,0.0199,0.0301,0.0076,0.038,0.0378,0.427,0.4204,6.0778,5.9732,0.6169,0.609,38.037,37.9222,0.0192,0.0181,0.0484,0.0404,0.0446,0.0465,0.4342,0.4334,6.2674,6.2531,-13.0556,0.065,0.4434,7.0,24.0,-112.0
Brandon Allen,10,0.5181,0.5024,31.5741,31.5019,0.0246,0.0228,-0.0802,-0.0815,0.0783,0.0872,0.4158,0.4049,6.0794,6.0804,0.5892,0.5922,34.6,35.5,0.008,0.0145,0.0547,0.0398,0.0783,0.0748,0.451,0.4506,6.494,6.5992,277.9,-0.1772,0.3898,7.0,14.7,-111.0
Brett Rypien,4,0.5871,0.5871,35.9444,35.9444,0.059,0.059,0.0736,0.0736,0.0294,0.0294,0.5019,0.5019,6.7637,6.7637,0.5409,0.5526,34.8333,36.6,0.0163,0.0135,-0.0783,-0.0174,0.0902,0.0838,0.3961,0.4083,6.5859,6.4133,64.5,-0.1176,0.4347,6.5,18.25,-105.0
Brian Hoyer,4,0.5242,0.5242,33.9444,33.9444,0.0486,0.0486,-0.3278,-0.3278,0.0914,0.0914,0.3985,0.3985,5.2841,5.2841,0.6145,0.6027,35.1667,35.95,0.0274,0.0335,0.0589,0.0394,0.0684,0.0533,0.506,0.4891,7.0,6.813,-2.0,-0.2999,0.4086,7.0,14.5,-112.0
Brock Osweiler,5,0.6094,0.6137,40.0417,40.6875,0.0232,0.0232,0.113,0.1303,0.0524,0.0462,0.4569,0.4646,7.3936,7.559,0.5825,0.5928,35.4,33.16,0.0294,0.0302,-0.0692,-0.0826,0.0692,0.0716,0.4189,0.423,6.6567,6.8815,208.0,-0.0638,0.4091,7.0,20.0,-112.0
Brock Purdy,42,0.6354,0.6364,32.6825,32.6143,0.012,0.018,0.2707,0.271,0.0557,0.0554,0.5205,0.5218,8.2965,8.2706,0.629,0.6316,31.9524,31.9667,0.0171,0.0167,0.2513,0.254,0.0582,0.0574,0.5124,0.516,8.2086,8.1763,-339.6905,0.2706,0.5225,7.0,27.1667,-110.0
Bryce Perkins,1,,,,,,,,,,,,,,,0.5379,0.6014,30.0,32.0,0.0085,0.011,-0.0982,-0.0237,0.0853,0.0682,0.3921,0.4601,6.3756,6.3822,768.0,-0.3185,0.3103,7.0,10.0,-115.0
Bryce Young,24,0.5356,0.5387,38.7391,38.9971,0.0188,0.0175,-0.1584,-0.1475,0.0952,0.0912,0.3891,0.3923,5.0076,5.0001,0.5433,0.5436,38.6806,38.6,0.0239,0.0215,-0.13,-0.0999,0.0906,0.0859,0.4084,0.4109,5.3573,5.4219,227.1667,-0.1346,0.3928,7.0,15.2917,-110.0
C.J. Beathard,8,0.5492,0.5643,39.3571,41.1238,0.042,0.042,-0.0467,-0.025,0.0877,0.0771,0.4632,0.4747,7.0042,7.1743,0.5574,0.563,41.5833,39.7875,0.033,0.032,0.0157,0.0595,0.0806,0.0814,0.4919,0.5032,6.733,6.9447,135.5,0.012,0.4617,7.0,21.125,-109.0
C.J. Stroud,35,0.5864,0.5878,37.6373,37.8838,0.0115,0.0118,0.0672,0.0709,0.0718,0.0715,0.4426,0.4433,7.0478,7.0843,0.5849,0.5828,37.2,36.8629,0.015,0.0139,0.0842,0.0813,0.0626,0.0622,0.446,0.4435,7.0076,6.9465,-25.5429,0.0693,0.4452,7.0,22.4571,-110.0
Caleb Williams,17,0.5398,0.537,40.6667,40.9,0.0048,0.0062,-0.0395,-0.0475,0.1001,0.0995,0.4191,0.4196,5.4495,5.3466,0.5452,0.5423,39.6863,39.7882,0.0079,0.0093,-0.0119,-0.0102,0.1059,0.1035,0.4254,0.423,5.7816,5.7635,95.8824,-0.0196,0.413,7.0,18.2353,-110.0
Cam Newton,37,0.6049,0.6088,33.2454,33.3662,0.0207,0.02,0.0019,0.0142,0.0695,0.0693,0.4695,0.4736,6.3836,6.4427,0.6107,0.6106,32.7361,33.1495,0.0288,0.0273,-0.0016,0.0049,0.0594,0.0592,0.4661,0.4668,6.3891,6.3643,-35.7027,-0.0245,0.461,7.0,21.5946,-106.0
Carson Wentz,66,0.5772,0.5786,40.0256,40.2615,0.0142,0.0152,0.0391,0.0412,0.07,0.0699,0.4605,0.4615,6.1935,6.2147,0.5869,0.59,40.048,39.9896,0.018,0.0175,0.0533,0.0614,0.0655,0.0639,0.4636,0.4635,6.3107,6.3504,-80.9394,0.0396,0.4583,7.0,22.3182,-106.0
Case Keenum,28,0.5956,0.5965,37.5705,37.1558,0.0223,0.0224,0.0164,0.0221,0.0539,0.0543,0.4534,0.455,6.4432,6.4914,0.5663,0.5736,36.5247,36.513,0.0266,0.0295,-0.0482,-0.0319,0.0728,0.0682,0.4335,0.4466,6.2384,6.4691,88.8929,-0.0011,0.456,7.0,18.4286,-106.0
Chad Henne,1,,,,,,,,,,,,,,,0.5647,0.6059,46.6667,47.4,0.0346,0.0208,0.1283,0.1891,0.0499,0.042,0.5249,0.5206,7.2748,7.7279,244.0,0.3538,0.5556,7.0,21.0,-117.0
Chase Daniel,3,0.6453,0.6453,41.5,41.5,0.0076,0.0076,0.0586,0.0586,0.0857,0.0857,0.4922,0.4922,5.7787,5.7787,0.6518,0.6051,33.6667,36.5333,0.0216,0.0201,0.2316,0.1865,0.0411,0.0473,0.5268,0.4989,6.8141,6.6515,-204.0,0.0329,0.4863,7.0,23.6667,-102.0
Clayton Tune,1,,,,,,,,,,,,,,,0.5423,0.5444,42.0,41.6,0.0244,0.0261,-0.2246,-0.1876,0.0655,0.0607,0.4097,0.4066,4.8704,5.1327,525.0,-1.0088,0.1471,7.0,0.0,-112.0
Cody Kessler,4,0.5988,0.6043,36.4167,36.375,0.0146,0.0165,-0.1296,-0.1245,0.1091,0.1081,0.4502,0.4593,4.7809,4.7939,0.5298,0.5341,34.0,35.55,0.0229,0.019,-0.1006,-0.041,0.1169,0.1113,0.4035,0.4236,5.0916,5.4258,50.25,-0.2022,0.4168,7.0,11.25,-103.0
Colt McCoy,11,0.6081,0.5981,35.6667,35.8759,0.0163,0.0287,-0.09,-0.1171,0.0796,0.0825,0.4172,0.4126,5.9698,5.8448,0.6039,0.6071,36.0909,36.7455,0.0282,0.0211,0.0316,0.0658,0.0799,0.0762,0.474,0.4644,6.4249,6.3702,224.3636,-0.096,0.4071,7.0,16.5455,-105.0
Cooper Rush,14,0.574,0.5763,35.1795,35.4205,0.0098,0.0116,-0.0097,-0.0048,0.0481,0.0477,0.4191,0.4213,6.2626,6.3538,0.5903,0.5999,34.9762,35.9286,0.0114,0.0136,0.0004,0.0089,0.0511,0.0549,0.4173,0.4288,6.1377,6.1855,172.2143,-0.0113,0.4237,7.0,20.5,-111.0
Dak Prescott,96,0.6347,0.6341,39.7614,39.7118,0.0171,0.0177,0.1596,0.1573,0.055,0.0554,0.5027,0.5014,7.1776,7.1624,0.6326,0.6307,39.7544,39.4149,0.019,0.0186,0.1566,0.1542,0.0561,0.0563,0.5001,0.4972,7.1521,7.1256,-215.8542,0.1581,0.5015,7.0,27.3333,-108.0
Daniel Jones,71,0.5905,0.591,38.756,38.7944,0.0148,0.0174,0.0062,0.013,0.081,0.0797,0.4495,0.4505,6.0342,6.0669,0.5856,0.5839,38.2113,37.9239,0.0214,0.0222,-0.02,-0.0202,0.0764,0.0736,0.4429,0.4421,6.0346,6.0435,147.3099,-0.0064,0.4511,7.0,18.6901,-107.0
David Blough,7,0.5083,0.5207,39.9444,41.2278,0.0278,0.029,-0.1212,-0.0988,0.0733,0.0719,0.3799,0.3867,5.4296,5.637,0.5346,0.5519,41.1905,41.1143,0.0335,0.0319,-0.12,-0.0302,0.0817,0.0788,0.3751,0.4011,5.3888,5.9648,387.2857,-0.1694,0.3696,7.0,16.1429,-106.0
Davis Mills,27,0.5794,0.5783,33.3457,33.2056,0.025,0.0271,-0.0706,-0.0754,0.0654,0.0678,0.416,0.4162,6.0779,6.0319,0.5834,0.5846,33.9506,34.8148,0.0282,0.0275,-0.0791,-0.0707,0.064,0.0664,0.4154,0.421,6.0548,6.1402,382.1481,-0.0709,0.4188,7.0,17.037,-111.0
Davis Webb,1,,,,,,,,,,,,,,,0.7,0.6877,37.3333,36.6,0.0072,0.0043,0.2154,0.1107,0.02,0.0573,0.5828,0.5412,6.5453,6.2296,858.0,-0.0068,0.3721,7.0,16.0,-103.0
DeShone Kizer,1,,,,,,,,,,,,,,,0.5771,0.5741,50.6667,47.6,0.0069,0.0042,0.1734,0.112,0.0884,0.0817,0.498,0.4894,6.2148,5.8801,-324.0,-0.2643,0.3,7.0,0.0,-108.0
Derek Anderson,2,0.6061,0.6061,33.0,33.0,0.0909,0.0909,-0.6594,-0.6594,0.0606,0.0606,0.3824,0.3824,5.303,5.303,0.5098,0.5118,27.6667,30.7,0.0402,0.0345,-0.3846,-0.2005,0.0814,0.0983,0.3072,0.3715,4.3534,5.1386,501.0,-0.5258,0.3772,7.5,5.5,-107.5
Derek Carr,108,0.631,0.6309,36.7675,36.9184,0.0187,0.0183,0.126,0.1263,0.0511,0.0519,0.4706,0.4717,7.1911,7.1717,0.6304,0.6303,36.4518,36.5921,0.0183,0.0179,0.1213,0.1133,0.0521,0.054,0.4701,0.4714,7.2027,7.1269,35.6111,0.1282,0.4693,7.0,22.4537,-108.0
Deshaun Watson,69,0.5999,0.6004,39.7917,39.7216,0.0183,0.0174,0.1153,0.1198,0.0859,0.0855,0.4797,0.4811,7.0348,7.0638,0.5949,0.5967,39.7917,39.851,0.0186,0.0192,0.0968,0.1034,0.0875,0.0852,0.4752,0.4779,6.9427,7.0003,-42.7246,0.1051,0.476,7.0,23.029,-105.0
Desmond Ridder,17,0.5839,0.5855,34.6667,34.651,0.0179,0.0175,-0.0125,-0.012,0.0735,0.0722,0.4572,0.4549,6.2891,6.1778,0.5738,0.5752,32.6078,32.4588,0.0214,0.0184,-0.03,-0.0295,0.0671,0.0689,0.4545,0.4489,6.1793,6.2102,-31.8824,0.0296,0.4722,7.0,17.7059,-110.0
Devlin Hodges,6,0.6561,0.672,26.6,26.2267,0.0474,0.0477,0.1307,0.159,0.0457,0.0391,0.5221,0.5264,6.9441,6.9811,0.5955,0.582,29.5,31.8,0.0391,0.0396,0.01,-0.0232,0.0675,0.06,0.4411,0.4286,6.4403,6.1714,-37.5,0.0387,0.4333,7.0,16.1667,-109.0
Dorian Thompson-Robinson,3,0.4991,0.4991,43.0,43.0,0.0622,0.0622,-0.4407,-0.4407,0.0756,0.0756,0.3498,0.3498,3.2509,3.2509,0.5622,0.523,39.5556,37.4667,0.0209,0.028,-0.0042,-0.0228,0.0705,0.0843,0.414,0.3998,6.1091,6.1545,25.6667,-0.2135,0.3658,7.0,9.3333,-110.0
Drake Maye,11,0.6097,0.6052,40.2833,40.7283,0.0297,0.0315,0.0059,0.0071,0.0802,0.0761,0.4824,0.4796,6.2743,6.2442,0.6022,0.5901,38.6061,37.8727,0.0243,0.0218,-0.0073,-0.0282,0.0764,0.08,0.4683,0.4597,5.9744,5.7774,255.8182,0.0466,0.4853,7.0,18.5455,-110.0
Drew Brees,43,0.7069,0.7096,35.4563,35.7496,0.0119,0.0112,0.247,0.2496,0.0331,0.0335,0.5391,0.5401,7.554,7.5407,0.701,0.7012,36.2421,36.2544,0.0134,0.0124,0.2425,0.2369,0.0369,0.0388,0.5326,0.5307,7.5435,7.5231,-256.7907,0.2337,0.534,7.0,30.5116,-103.0
Drew Lock,25,0.5828,0.5847,35.9653,35.9472,0.0267,0.0242,0.0507,0.0396,0.0426,0.0434,0.4366,0.4339,6.5946,6.485,0.5492,0.5393,34.1467,34.776,0.0363,0.0357,-0.0332,-0.0428,0.0532,0.0566,0.4192,0.4138,6.1581,6.1259,189.92,0.0366,0.4392,7.0,19.96,-107.0
Dwayne Haskins,13,0.5213,0.5173,33.2821,32.7179,0.0215,0.0217,-0.1651,-0.1892,0.1002,0.1019,0.4211,0.4232,5.7777,5.7495,0.5332,0.5478,32.6667,31.4923,0.0141,0.0161,-0.111,-0.0976,0.0964,0.0978,0.4107,0.4209,5.6116,5.7407,268.1538,-0.1062,0.4036,7.0,19.8462,-110.0
Easton Stick,4,0.5743,0.5661,32.0833,31.3542,0.0095,0.0083,-0.1891,-0.1976,0.0831,0.083,0.4198,0.4201,6.7226,6.7614,0.5933,0.5912,35.75,38.1,0.0089,0.0087,-0.1449,-0.0722,0.0685,0.0554,0.429,0.4418,6.322,6.2601,166.25,-0.0987,0.4208,7.5,16.0,-109.0
Eli Manning,20,0.6128,0.6158,40.0088,39.9544,0.0171,0.015,0.0686,0.0675,0.0694,0.0725,0.434,0.4331,6.9348,6.928,0.6084,0.6108,39.5877,40.1123,0.0174,0.0162,0.0657,0.0524,0.0705,0.0763,0.4308,0.429,6.8675,6.8059,96.0,0.0771,0.4393,7.0,22.65,-109.5
Gardner Minshew,42,0.6022,0.5964,37.0754,36.8492,0.0155,0.0147,0.0714,0.0592,0.0639,0.0626,0.459,0.4505,6.7581,6.6935,0.5912,0.5881,37.5952,37.019,0.0163,0.0171,0.038,0.0171,0.0692,0.0696,0.4496,0.4431,6.4502,6.3116,86.0476,0.0194,0.4471,7.0,21.1667,-110.0
Gardner Minshew II,5,0.612,0.6217,45.8,44.92,0.015,0.0175,0.085,0.1251,0.0633,0.069,0.4907,0.5077,6.4686,6.5877,0.6278,0.6176,45.6667,43.92,0.0192,0.0228,0.1015,0.0841,0.056,0.065,0.5105,0.5075,6.6367,6.4633,274.4,0.0734,0.4281,7.0,19.6,-106.0
Garrett Gilbert,2,0.5385,0.5385,41.0,41.0,0.0256,0.0256,-0.0816,-0.0816,0.0488,0.0488,0.4524,0.4524,6.2308,6.2308,0.5609,0.6006,38.3333,38.1,0.0292,0.0237,-0.1726,-0.0041,0.0746,0.0781,0.4503,0.4963,4.831,5.9787,485.5,-0.0468,0.4174,7.0,18.0,-105.5
Geno Smith,53,0.6331,0.6312,37.6474,37.658,0.0177,0.018,0.0755,0.0742,0.0749,0.0761,0.4862,0.4841,6.8199,6.806,0.6335,0.6317,37.2013,37.2943,0.0198,0.0193,0.0894,0.0967,0.0707,0.0699,0.4885,0.4875,6.9116,6.9437,5.7358,0.0839,0.4881,7.0,22.5283,-108.0
Ian Book,1,,,,,,,,,,,,,,,0.505,0.5166,34.6667,35.8,0.031,0.0346,-0.111,-0.1305,0.0734,0.0562,0.4077,0.4052,6.2472,5.811,143.0,-0.9898,0.2258,8.0,3.0,-101.0
Jacoby Brissett,36,0.5914,0.5947,36.8333,36.8392,0.0121,0.0135,0.0653,0.0708,0.0642,0.0627,0.4706,0.4721,6.1455,6.1665,0.5807,0.5878,37.1574,37.0667,0.0221,0.0239,0.0055,0.0018,0.0642,0.0631,0.4569,0.4552,6.056,6.0828,66.0556,0.0339,0.4624,7.0,21.5278,-104.5
Jake Browning,7,0.6244,0.6202,33.3095,31.3786,0.0211,0.0188,0.1385,0.1351,0.0905,0.0966,0.4686,0.4634,7.1827,6.9982,0.6445,0.6563,36.7143,36.6857,0.0244,0.0211,0.1567,0.1759,0.0797,0.0788,0.4755,0.4873,7.6457,7.5881,-5.5714,0.1552,0.4945,7.0,23.4286,-105.0
Jake Fromm,2,0.5,0.5364,36.0,36.2,0.0578,0.0507,-0.3231,-0.2626,0.0393,0.0486,0.3484,0.4027,4.4356,5.3169,0.4897,0.5084,29.5,33.4,0.0782,0.0567,-0.5852,-0.4255,0.0613,0.0566,0.3433,0.3608,3.7461,4.2349,311.0,-0.2524,0.3939,7.0,8.5,-108.5
Jake Haener,3,0.4943,0.5046,33.0,36.7556,0.0101,0.0148,-0.195,-0.2462,0.0877,0.0971,0.3663,0.3676,5.4019,5.2874,0.5883,0.6168,31.8889,31.3333,0.0138,0.0083,0.1172,0.1513,0.0228,0.0205,0.4332,0.4313,6.2851,7.1863,341.6667,-0.1033,0.4095,7.0,9.6667,-108.0
Jake Luton,3,0.594,0.594,41.0,41.0,0.0249,0.0249,0.0357,0.0357,0.0555,0.0555,0.445,0.445,6.6728,6.6728,0.5178,0.5536,43.0,45.6,0.0132,0.0139,-0.0335,0.0116,0.0739,0.0673,0.3876,0.4223,5.655,6.0039,429.3333,-0.2687,0.3808,7.0,16.0,-107.0
Jalen Hurts,76,0.5995,0.5985,34.7956,34.9624,0.0133,0.0156,0.1353,0.1369,0.0656,0.0646,0.462,0.4628,6.8952,6.8942,0.5944,0.5935,34.7982,35.0526,0.0165,0.0173,0.1331,0.1301,0.0702,0.0698,0.4624,0.4617,6.878,6.8891,-195.5526,0.1526,0.4687,7.0,26.9474,-110.0
Jameis Winston,45,0.5728,0.5764,40.5492,40.6625,0.0346,0.0364,0.0985,0.0968,0.0626,0.0645,0.4754,0.4779,7.0571,7.0475,0.5795,0.5782,39.763,39.7478,0.0357,0.035,0.0728,0.0688,0.066,0.0675,0.4736,0.4709,6.9344,6.9903,62.4667,0.0748,0.472,7.0,23.6889,-108.0
Jared Goff,120,0.6341,0.6333,37.8613,37.8073,0.0163,0.0174,0.1519,0.1517,0.0487,0.0487,0.4975,0.497,7.3682,7.3633,0.6353,0.6346,37.7409,37.6728,0.0191,0.0189,0.1501,0.1534,0.0462,0.0466,0.4946,0.4953,7.3618,7.3722,-125.7333,0.147,0.4976,7.0,26.8083,-108.0
Jaren Hall,2,0.6005,0.5751,38.8333,40.4,0.0386,0.0361,-0.0178,-0.079,0.0626,0.0614,0.4542,0.4364,6.4392,6.0651,0.6287,0.6171,37.0,36.6,0.0301,0.0423,0.1407,0.0147,0.075,0.0715,0.4725,0.4537,7.264,6.794,24.0,0.0137,0.4175,7.0,20.5,-108.0
Jarrett Stidham,4,0.6243,0.6243,40.8333,40.8333,0.0413,0.0413,0.1465,0.1465,0.0402,0.0402,0.5505,0.5505,8.7409,8.7409,0.5485,0.5537,36.9167,34.8,0.0348,0.0437,-0.0098,-0.0211,0.0642,0.0532,0.4327,0.43,6.3812,6.6559,164.0,0.0698,0.4809,7.0,19.25,-109.5
Jayden Daniels,15,0.6604,0.6574,36.9048,36.4107,0.0239,0.0183,0.2386,0.2159,0.072,0.0739,0.5208,0.5179,7.0411,6.9382,0.6607,0.6366,36.4444,36.1067,0.0237,0.0266,0.2231,0.1449,0.0748,0.0741,0.5065,0.4907,6.9126,6.5621,-5.2667,0.3362,0.5246,7.0,29.0667,-110.0
Jeff Driskel,10,0.5239,0.5339,35.65,35.7583,0.0098,0.0108,0.0027,0.0122,0.0861,0.078,0.416,0.4225,5.2419,5.2462,0.5724,0.5689,37.9,37.72,0.0192,0.0189,0.0985,0.0682,0.0644,0.0645,0.4554,0.4581,6.6368,6.6239,256.8,-0.0731,0.3859,7.0,17.2,-111.0
Jimmy Garoppolo,63,0.6286,0.6259,31.4508,31.432,0.0256,0.0269,0.1912,0.1931,0.0646,0.0649,0.5038,0.5038,7.713,7.7041,0.6181,0.6147,32.0726,32.5629,0.029,0.0285,0.1583,0.1598,0.0651,0.0649,0.4915,0.4898,7.6347,7.603,-125.8571,0.1826,0.5011,7.0,25.4286,-103.0
